,state_prev,action,next_reward,next_state,game_over
0,[20.   1.   1.   3.2],"[tensor([1.8415], grad_fn=<AddBackward0>)]",-6.52,[19.32045608  1.          1.          3.2       ],False
1,[19.32045608  1.          1.          3.2       ],"[tensor([1.7626], grad_fn=<AddBackward0>)]",-10.41,[19.28377007  2.          1.          3.        ],False
2,[19.28377007  2.          1.          3.        ],"[tensor([0.9316], grad_fn=<AddBackward0>)]",-10.71,[19.3168254  3.         1.         2.5      ],False
3,[19.3168254  3.         1.         2.5      ],"[tensor([0.1760], grad_fn=<AddBackward0>)]",-10.44,[19.32658982  4.          1.          2.2       ],False
4,[19.32658982  4.          1.          2.2       ],"[tensor([-0.5550], grad_fn=<AddBackward0>)]",-10.68,[19.28685268  6.          1.          2.5       ],False
5,[19.28685268  6.          1.          2.5       ],"[tensor([-1.9228], grad_fn=<AddBackward0>)]",-10.78,[19.29352924  8.          1.          2.7       ],False
6,[19.29352924  8.          1.          2.7       ],"[tensor([-3.1935], grad_fn=<AddBackward0>)]",-20.86,[19.28151386  9.          1.          3.1       ],False
7,[19.28151386  9.          1.          3.1       ],"[tensor([-3.8256], grad_fn=<AddBackward0>)]",-20.7,[19.32357629 10.          1.          3.1       ],False
8,[19.32357629 10.          1.          3.1       ],"[tensor([-4.4915], grad_fn=<AddBackward0>)]",-20.22,[19.394724 11.        1.        4.      ],False
9,[19.394724 11.        1.        4.      ],"[tensor([-5.1174], grad_fn=<AddBackward0>)]",-16.75,[19.65439945 13.          1.          8.2       ],False
10,[19.65439945 13.          1.          8.2       ],"[tensor([-6.0710], grad_fn=<AddBackward0>)]",-16.13,[19.58638014 15.          1.          7.1       ],False
11,[19.58638014 15.          1.          7.1       ],"[tensor([-7.1148], grad_fn=<AddBackward0>)]",-7.07,[19.5035814 16.         1.         6.7      ],False
12,[19.5035814 16.         1.         6.7      ],"[tensor([-7.5792], grad_fn=<AddBackward0>)]",-9.04,[19.38777008 18.          1.          5.7       ],False
13,[19.38777008 18.          1.          5.7       ],"[tensor([-8.4844], grad_fn=<AddBackward0>)]",-9.56,[19.36599492 19.          1.          6.2       ],False
14,[19.36599492 19.          1.          6.2       ],"[tensor([-8.9378], grad_fn=<AddBackward0>)]",-9.85,[19.35170759 20.          1.          7.7       ],False
15,[19.35170759 20.          1.          7.7       ],"[tensor([-9.4044], grad_fn=<AddBackward0>)]",-10.59,[19.29718601 22.          1.          7.2       ],False
16,[19.29718601 22.          1.          7.2       ],"[tensor([-10.4478], grad_fn=<AddBackward0>)]",-10.88,[19.28817632 23.          1.          7.        ],False
17,[19.28817632 23.          1.          7.        ],"[tensor([-11.0139], grad_fn=<AddBackward0>)]",-11.07,[19.27749386  1.          2.          5.6       ],False
18,[19.27749386  1.          2.          5.6       ],"[tensor([-14.2533], grad_fn=<AddBackward0>)]",-11.67,[19.23177447  2.          2.          4.7       ],False
19,[19.23177447  2.          2.          4.7       ],"[tensor([-14.9293], grad_fn=<AddBackward0>)]",-12.35,[19.1877277  4.         2.         4.6      ],False
20,[19.1877277  4.         2.         4.6      ],"[tensor([-15.6536], grad_fn=<AddBackward0>)]",-12.78,[19.15958063  5.          2.          4.6       ],False
21,[19.15958063  5.          2.          4.6       ],"[tensor([-16.0205], grad_fn=<AddBackward0>)]",-12.85,[19.17674984  6.          2.          4.6       ],False
22,[19.17674984  6.          2.          4.6       ],"[tensor([-16.4510], grad_fn=<AddBackward0>)]",-12.92,[19.15853134  7.          2.          4.7       ],False
23,[19.15853134  7.          2.          4.7       ],"[tensor([-16.8678], grad_fn=<AddBackward0>)]",-12.91,[19.16589361  8.          2.          5.        ],False
24,[19.16589361  8.          2.          5.        ],"[tensor([-17.3047], grad_fn=<AddBackward0>)]",-22.89,[19.16303375  9.          2.          5.1       ],False
25,[19.16303375  9.          2.          5.1       ],"[tensor([-17.7941], grad_fn=<AddBackward0>)]",-22.53,[19.18957763 11.          2.          5.7       ],False
26,[19.18957763 11.          2.          5.7       ],"[tensor([-18.9284], grad_fn=<AddBackward0>)]",-18.310000000000002,[19.45931963 15.          2.          6.        ],False
27,[19.45931963 15.          2.          6.        ],"[tensor([-21.6292], grad_fn=<AddBackward0>)]",-8.58,[19.41329322 16.          2.          6.2       ],False
28,[19.41329322 16.          2.          6.2       ],"[tensor([-22.1200], grad_fn=<AddBackward0>)]",-9.49,[19.36965791 18.          2.          6.2       ],False
29,[19.36965791 18.          2.          6.2       ],"[tensor([-23.0542], grad_fn=<AddBackward0>)]",-9.85,[19.33514248 19.          2.          6.2       ],False
30,[19.33514248 19.          2.          6.2       ],"[tensor([-23.5123], grad_fn=<AddBackward0>)]",-10.01,[19.33810745 20.          2.          6.1       ],False
31,[19.33810745 20.          2.          6.1       ],"[tensor([-24.0097], grad_fn=<AddBackward0>)]",-8.49,[19.41548975 23.          2.          5.7       ],False
32,[19.41548975 23.          2.          5.7       ],"[tensor([-25.5011], grad_fn=<AddBackward0>)]",-9.45,[19.36453561  1.          3.          5.5       ],False
33,[19.36453561  1.          3.          5.5       ],"[tensor([-27.8669], grad_fn=<AddBackward0>)]",-9.92,[19.32201869  2.          3.          5.2       ],False
34,[19.32201869  2.          3.          5.2       ],"[tensor([-28.1687], grad_fn=<AddBackward0>)]",-10.58,[19.27434828  3.          3.          5.        ],False
35,[19.27434828  3.          3.          5.        ],"[tensor([-28.4980], grad_fn=<AddBackward0>)]",-11.18,[19.24190889  4.          3.          3.        ],False
36,[19.24190889  4.          3.          3.        ],"[tensor([-28.5116], grad_fn=<AddBackward0>)]",-11.45,[19.24121502  7.          3.          2.2       ],False
37,[19.24121502  7.          3.          2.2       ],"[tensor([-29.8135], grad_fn=<AddBackward0>)]",-20.85,[19.31519433 10.          3.          7.7       ],False
38,[19.31519433 10.          3.          7.7       ],"[tensor([-32.4229], grad_fn=<AddBackward0>)]",-19.7,[19.42179514 11.          3.          7.        ],False
